bin, cx, cy, cz, volume, rel. src, strength, vol. strength
0, 0, 226.423, 83.6088, 53.0216, 0, 0, 0
1, 0, 226.423, 80.6251, 53.0199, 0, 0, 0
2, 0, 226.423, 77.6414, 53.0199, 0, 0, 0
3, 0, 226.423, 74.6576, 53.0216, 0, 0, 0
4, 0, 226.423, 71.6739, 53.0199, 0, 0, 0
5, 0, 226.423, 68.6902, 53.0199, 0, 0, 0
6, 0, 226.423, 65.7064, 53.0217, 0, 0, 0
7, 0, 226.423, 62.7227, 53.0198, 0, 0, 0
8, 0, 226.423, 59.739, 53.0199, 0, 0, 0
9, 0, 226.423, 56.7552, 53.0217, 0, 0, 0
10, 0, 226.423, 53.7714, 53.0199, 0, 0, 0
11, 0, 226.423, 50.7877, 53.0198, 0, 0, 0
12, 0, 226.423, 47.804, 53.0216, 0, 0, 0
13, 0, 226.423, 44.8203, 53.0198, 0, 0, 0
14, 0, 226.423, 41.8366, 53.0199, 0, 0, 0
15, 0, 226.423, 38.8528, 53.0216, 0, 0, 0
16, 0, 226.423, 35.8691, 53.0199, 0, 0, 0
17, 0, 226.423, 32.8854, 53.0198, 0, 0, 0
18, 0, 226.423, 29.9016, 53.0217, 0, 0, 0
19, 0, 226.423, 26.9178, 53.0198, 0, 0, 0
20, 0, 226.423, 23.9342, 53.0199, 0, 0, 0
21, 0, 226.423, 20.9504, 53.0217, 0, 0, 0
22, 0, 226.423, 17.9666, 53.0199, 0, 0, 0
23, 0, 226.423, 14.9829, 53.0199, 0, 0, 0
24, 0, 226.423, 11.9992, 53.0216, 0, 0, 0
25, 0, 226.423, 9.01545, 53.02, 0, 0, 0
26, 0, 226.423, 6.03172, 53.0206, 0, 0, 0
27, 0, 226.423, 3.04798, 53.0204, 0, 0, 0
28, 0, 226.423, 0.06425, 53.0206, 0, 0, 0
29, 0, 226.423, -2.91948, 53.0204, 0, 0, 0
30, 0, 226.423, -5.90321, 53.0204, 0, 0, 0
31, 0, 226.423, -8.88694, 53.0202, 0, 0, 0
32, 0, 226.423, -11.8707, 53.0199, 0, 0, 0
33, 0, 226.423, -14.8544, 53.0216, 0, 0, 0
34, 0, 226.423, -17.8381, 53.0199, 0, 0, 0
35, 0, 226.423, -20.8219, 53.0217, 0, 0, 0
36, 0, 226.423, -23.8056, 53.0198, 0, 0, 0
37, 0, 226.423, -26.7893, 53.0199, 0, 0, 0
38, 0, 226.423, -29.7731, 53.0216, 0, 0, 0
39, 0, 226.423, -32.7569, 53.0199, 0, 0, 0
40, 0, 226.423, -35.7405, 53.0198, 0, 0, 0
41, 0, 226.423, -38.7243, 53.0216, 0, 0, 0
42, 0, 226.423, -41.708, 53.0199, 0, 0, 0
43, 0, 226.423, -44.6918, 53.0199, 0, 0, 0
44, 0, 226.423, -47.6755, 53.0216, 0, 0, 0
45, 0, 226.423, -50.6593, 53.0199, 0, 0, 0
46, 0, 226.423, -53.6429, 53.0198, 0, 0, 0
47, 0, 226.423, -56.6267, 53.0217, 0, 0, 0
48, 0, 226.423, -59.6105, 53.0199, 0, 0, 0
49, 0, 226.423, -62.5942, 53.0199, 0, 0, 0
50, 0, 226.423, -65.5779, 53.0216, 0, 0, 0
51, 0, 226.423, -68.5616, 53.0199, 0, 0, 0
52, 0, 226.423, -71.5454, 53.0199, 0, 0, 0
53, 0, 226.423, -74.5291, 53.0216, 0, 0, 0
54, 0, 226.423, -77.5128, 53.0199, 0, 0, 0
55, 0, 226.423, -80.4965, 53.0199, 0, 0, 0
56, 0, 226.423, -83.4803, 53.0217, 0, 0, 0
57, 0, 225.423, 83.6088, 52.8391, 0, 0, 0
58, 0, 225.423, 80.6251, 52.8374, 0, 0, 0
59, 0, 225.423, 77.6414, 52.8374, 0, 0, 0
60, 0, 225.423, 74.6576, 52.8391, 0, 0, 0
61, 0, 225.423, 71.6739, 52.8374, 0, 0, 0
62, 0, 225.423, 68.6902, 52.8374, 0, 0, 0
63, 0, 225.423, 65.7064, 52.8392, 0, 0, 0
64, 0, 225.423, 62.7227, 52.8373, 0, 0, 0
65, 0, 225.423, 59.739, 52.8374, 0, 0, 0
66, 0, 225.423, 56.7552, 52.8392, 0, 0, 0
67, 0, 225.423, 53.7714, 52.8374, 0, 0, 0
68, 0, 225.423, 50.7877, 52.8374, 0, 0, 0
69, 0, 225.423, 47.804, 52.8392, 0, 0, 0
70, 0, 225.423, 44.8203, 52.8374, 0, 0, 0
71, 0, 225.423, 41.8366, 52.8374, 0, 0, 0
72, 0, 225.423, 38.8528, 52.8392, 0, 0, 0
73, 0, 225.423, 35.8691, 52.8374, 0, 0, 0
74, 0, 225.423, 32.8854, 52.8374, 0, 0, 0
75, 0, 225.423, 29.9016, 52.8392, 0, 0, 0
76, 0, 225.423, 26.9178, 52.8374, 0, 0, 0
